,ra,dec,Vmag,plx,sy_dist,name
270,110.51449452989998,0.17712166635999999,5.971,1.8329,545.583501554913,HD 57608                           
271,157.21906167596998,-64.17227995826,5.27,1.833,545.5537370430987,HD 91056                           
272,283.54240867927996,-22.74483961587,4.845,1.8387,543.8625115570784,* nu.01 Sgr                        
273,80.70834994390998,3.54445873839,5.0,1.8431,542.5641582117086,* 23 Ori                           
274,55.678070804049995,59.969389694280004,5.78,1.8433,542.505289426572,HD 22764                           
275,174.0931859676,-61.052433746009996,5.819,1.8626,536.8839256952647,HD 100929                          
276,95.35298558476998,-11.77324059989,5.55,1.8635,536.6246310705661,HD 44458                           
277,252.96761814529,-38.047399464,2.98,1.8732,533.8458253256459,* mu.01 Sco                        
278,109.71364057651998,-26.58585586451,5.288,1.881,531.632110579479,HD 57146                           
279,338.96784479345996,39.63432965938,5.69,1.8914,528.7088928835783,* 8 Lac A                          
280,102.09083333333331,41.059999999999995,5.4,1.896,527.4261603375528,NGC 2281                           
281,154.90313630390165,-55.02930532998111,4.543,1.8988,526.6484095218033,V* GZ Vel                          
282,125.63205879166667,-48.49037863888889,4.82,1.9,526.3157894736842,* B Vel                            
283,105.63869703625998,16.67444523645,5.848,1.9018,525.8176464402145,HD 52609                           
284,149.21558687068122,-54.56778819003417,3.45,1.903,525.4860746190226,* phi Vel                          
285,284.56145126729996,17.36091598823,5.38,1.9057,524.7415647793462,V* FF Aql                          
286,358.88948114048,47.35580382436,5.989,1.9092,523.7795935470355,HD 224165                          
287,114.99162956189,-37.579424278110004,5.996,1.911,523.2862375719519,* d04 Pup                          
288,148.45874551523997,-51.14670998085,5.932,1.9205,520.6977349648529,HD 85953                           
289,98.74408324783539,-52.975609280170005,4.4,1.9235,519.8856251624642,* N Car                            
290,101.47382350887999,-52.409690885589995,5.761,1.9395,515.5968032998195,HD 49517                           
291,277.3987928756,23.866198421990003,5.863,1.9494,512.9783523135324,HD 170650                          
292,83.80519446944,10.24007744287,5.638,1.9574,510.8817819556554,HD 36881                           
293,223.14691149791997,-63.809821314109996,5.96,1.9624,509.580105992662,* 26 Cir                           
294,121.66808058893999,-45.26601491028,5.021,1.9628,509.4762584063582,HD 67582                           
295,80.09421107381999,62.65371134855,5.598,1.9726,506.9451485349286,HD 34255                           
296,275.34577600081,-18.86000179179389,5.75,1.9748,506.3803929511849,V* Y Sgr                           
297,294.22270369625915,-7.0274791156922225,4.96,1.9758,506.1241016297196,* kap Aql                          
298,84.79644082532583,4.121468969526666,4.59,1.9761,506.04726481453366,* ome Ori                          
299,343.2657688022799,60.1010309928,5.984,1.9819,504.56632524345326,HD 216595                          
300,146.31171543538207,-62.50790286462889,3.75,1.9842,503.9814534825119,* l Car                            
301,106.02186390365998,-5.3239751459699995,5.602,1.9954,501.1526510975243,HD 53208                           
302,83.85827580502622,-5.909888523506667,2.77,1.9969,500.77620311482804,* iot Ori                          
303,91.05625140504998,-6.70895149805,5.21,2.0004,499.9000199960008,HD 41335                           
304,121.82516665102,-20.5543431515,5.338,2.0071,498.2312789596931,HD 67456                           
